clause_id,clause_text,silver_aspek,llm_aspek,silver_sentimen,llm_sentimen,llm_severity,beda_pada,final_aspek,final_sentimen,final_severity,catatan
r001304_c0,cepat resp seller pengiriman cepat packaging rapih aman barang lengkap sesuaii thankss a lott,"kelengkapan, kemasan, pelayanan_penjual, pengiriman","kelengkapan, kemasan, kesesuaian_deskripsi, pelayanan_penjual, pengiriman",positif,positif,,aspek,,,,
r016270_c0,yang saya pesan merah d kirim abu,pengiriman,"kesesuaian_deskripsi, ukuran_varian",positif,negatif,tinggi,aspek + sentimen,,,,
r016519_c1,barang sudah nyampe,pengiriman,pengiriman,positif,netral,,sentimen,,,,
r004144_c1,kualitas sesuai harga,"harga_value, kesesuaian_deskripsi, kualitas_produk","harga_value, kualitas_produk",positif,positif,,aspek,,,,
r000369_c0,proses cepat produk bagus finising mulus,kualitas_produk,"kualitas_produk, pengiriman",positif,positif,,aspek,,,,
r039217_c0,oke tks sesuai dengan gambar,kesesuaian_deskripsi,kesesuaian_deskripsi,positif,positif,,-,,,,
r003227_c0,fitur kurang memuaskan hanya sedikit seperti band yang sebelumnya belum layar sentuh full tidak sesuai dengan harga,"harga_value, kesesuaian_deskripsi","harga_value, kesesuaian_deskripsi, kualitas_produk",negatif,negatif,sedang,aspek,,,,
r013731_c1,cuman produk g sesuai pesanan warna,"kesesuaian_deskripsi, ukuran_varian","kesesuaian_deskripsi, ukuran_varian",positif,negatif,sedang,sentimen,,,,
r003752_c0,pesen yang besar sama yang kecil warna putih,ukuran_varian,ukuran_varian,negatif,netral,,sentimen,,,,
r006019_c0,barang sudah nyampe sesuai pesanan,"kesesuaian_deskripsi, pengiriman","kesesuaian_deskripsi, pengiriman",positif,positif,,-,,,,
r004816_c2,paa barang datang baru juga dipakai 2 jam masa bolong pas bagian miss v nya,kemudahan_penggunaan,kualitas_produk,negatif,negatif,tinggi,aspek,,,,
r005226_c2,pake dimobil,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r027502_c1,kok tidak bisa digunakan yaa,kemudahan_penggunaan,"kemudahan_penggunaan, kualitas_produk",negatif,negatif,tinggi,aspek,,,,
r002984_c1,nyaman dipakai,kemudahan_penggunaan,kualitas_produk,positif,positif,,aspek,,,,
r008397_c1,pesanan sudah sampai dan langsung dipakai,"kemudahan_penggunaan, pengiriman",pengiriman,positif,positif,,aspek,,,,
r018376_c4,sejauh ini mesin tidak ada masalah cuman strap kulitnya keliatan kulit palsu,keaslian,"keaslian, kualitas_produk",negatif,negatif,sedang,aspek,,,,
r003561_c13,dengan harg lumayan mahal,harga_value,harga_value,negatif,negatif,rendah,-,,,,
r020013_c1,cepat,(tidak ada),pengiriman,positif,positif,,aspek,,,,
r013720_c2,jangan asal kirim pesanan kl barang tidak ada atau tidak sesuai pesanan,"kesesuaian_deskripsi, pengiriman","kesesuaian_deskripsi, pelayanan_penjual",negatif,negatif,tinggi,aspek,,,,
r018411_c3,bisa bri tahu settingannya bro,(tidak ada),kemudahan_penggunaan,positif,netral,,aspek + sentimen,,,,
r022834_c0,sudah dipasang,kemudahan_penggunaan,kemudahan_penggunaan,positif,netral,,sentimen,,,,
r003045_c2,manual pake bahasa china sulit dipahami,(tidak ada),"kelengkapan, kemudahan_penggunaan",negatif,negatif,sedang,aspek,,,,
r035900_c2,bagus,(tidak ada),(tidak ada),positif,positif,,-,,,,
r022344_c0,barang sudah diterima,kualitas_produk,pengiriman,positif,netral,,aspek + sentimen,,,,
r004812_c3,chat tidak pernah di bls,pelayanan_penjual,pelayanan_penjual,negatif,negatif,tinggi,-,,,,
r022582_c5,salam sukses *ralat : ternyata bisa,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r005225_c5,gel nya sangat lembut,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r016433_c3,walau ane minta custom ketebelan ternyata,(tidak ada),ukuran_varian,positif,netral,,aspek + sentimen,,,,
r023001_c2,suara nya mayan bagus untuk harga 100rban,harga_value,"harga_value, kualitas_produk",positif,positif,,aspek,,,,
r036803_c4,apakah versi 2015 nya,(tidak ada),kesesuaian_deskripsi,negatif,netral,,aspek + sentimen,,,,
r002511_c2,alarm clock agak mengarah keatas,(tidak ada),kualitas_produk,positif,negatif,rendah,aspek + sentimen,,,,
r015726_c1,kondisi perfect,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r014769_c0,suka banget 😍 nyaman dipake,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r013681_c2,144pcs hampir sebagian alas copot dari bodynya,(tidak ada),kualitas_produk,netral,negatif,tinggi,aspek + sentimen,,,,
r037628_c0,barang bagus lengkap sesuai pesanan,"kelengkapan, kesesuaian_deskripsi","kelengkapan, kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r008419_c4,sudah seminggu statusnya rumah kosong,(tidak ada),pengiriman,positif,negatif,sedang,aspek + sentimen,,,,
r038843_c1,di deskripsi saya ada tulis hitam kenapa barang di kasih warna biru,"kesesuaian_deskripsi, ukuran_varian","kesesuaian_deskripsi, ukuran_varian",netral,negatif,tinggi,sentimen,,,,
r001507_c0,kapok saya beli kembang api di toko ini bilang nya,(tidak ada),pelayanan_penjual,negatif,negatif,tinggi,aspek,,,,
r028279_c1,berfungsi dengan baik,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r013731_c2,di box hitam isinya doreng,"kelengkapan, kemasan","kesesuaian_deskripsi, ukuran_varian",positif,negatif,sedang,aspek + sentimen,,,,
r017177_c1,kebetulan pas,(tidak ada),ukuran_varian,positif,positif,,aspek,,,,
r001120_c1,packing,kemasan,kemasan,negatif,netral,,sentimen,,,,
r000951_c0,tidak mengkilap dan cepat hilang,kelengkapan,kualitas_produk,negatif,negatif,sedang,aspek,,,,
r003561_c2,tidak ada bedanya dengan box,kemasan,kemasan,negatif,netral,,sentimen,,,,
r035949_c1,sesuai dengan harga,"harga_value, kesesuaian_deskripsi",harga_value,positif,positif,,aspek,,,,
r002199_c1,barang sudah diterima dengan baik dan sudah di tes,kualitas_produk,"kualitas_produk, pengiriman",positif,positif,,aspek,,,,
r014478_c0,produk sudah diterima dengan baik,kualitas_produk,pengiriman,positif,positif,,aspek,,,,
r022406_c0,barang bagus,kualitas_produk,kualitas_produk,positif,positif,,-,,,,
r004366_c0,minta size 43 yang dikirim size 44,"pengiriman, ukuran_varian","kesesuaian_deskripsi, ukuran_varian",negatif,negatif,tinggi,aspek,,,,
r017891_c1,barang original,keaslian,keaslian,positif,positif,,-,,,,
r035443_c2,ini dipakai untuk anak saya yang masih umur 8tahun,kemudahan_penggunaan,(tidak ada),netral,netral,,aspek,,,,
r022819_c0,semoga awet tidak mudah pecah,kualitas_produk,kualitas_produk,positif,netral,,sentimen,,,,
r032616_c0,harga murah dan bisa di gunakan dan pasti jadi rutin beli,harga_value,"harga_value, kemudahan_penggunaan",positif,positif,,aspek,,,,
r018333_c0,cantik bangeet jamnyaa💖,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r037828_c1,sangat puas dengan produk dan pelayanannya yang sangat cepat,pelayanan_penjual,"kualitas_produk, pelayanan_penjual",positif,positif,,aspek,,,,
r036668_c1,kemasan oke,kemasan,kemasan,positif,positif,,-,,,,
r002748_c0,tidak sesuai gambar depan terlalu pendek,kesesuaian_deskripsi,"kesesuaian_deskripsi, ukuran_varian",negatif,negatif,sedang,aspek,,,,
r014206_c1,barang sudah diterima komplit,kelengkapan,"kelengkapan, pengiriman",positif,positif,,aspek,,,,
r003108_c2,dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya,"kemudahan_penggunaan, pengiriman",pengiriman,negatif,negatif,sedang,aspek,,,,
r032780_c1,ini toko mantap pnya is the best,(tidak ada),pelayanan_penjual,positif,positif,,aspek,,,,
r016012_c1,kualitas oke banget empuk nyaman dipakai,"kemudahan_penggunaan, kualitas_produk",kualitas_produk,positif,positif,,aspek,,,,
r014890_c0,design nya lucu banget trus enak dipakai :),"kemudahan_penggunaan, rasa_kualitas_makanan","kemudahan_penggunaan, kualitas_produk",positif,positif,,aspek,,,,
r022948_c3,rugi,(tidak ada),harga_value,negatif,negatif,sedang,aspek,,,,
r016008_c0,warna cokelatnya ternyata lebih terang daripada gambar,ukuran_varian,"kesesuaian_deskripsi, ukuran_varian",positif,negatif,rendah,aspek + sentimen,,,,
r022389_c1,mantap,(tidak ada),(tidak ada),positif,positif,,-,,,,
r017970_c1,enak banget dipakai,"kemudahan_penggunaan, rasa_kualitas_makanan",kemudahan_penggunaan,positif,positif,,aspek,,,,
r000571_c0,tidak sesuai gambar disitu gulanya yang hijau kenapa dikirimnya yang kuning sih beda mereka harga rasanya juga beda lbh enak yang hijau kenapa begini tokped jadi pengguna baru malah nyesel,"harga_value, kesesuaian_deskripsi, rasa_kualitas_makanan","harga_value, kesesuaian_deskripsi, rasa_kualitas_makanan, ukuran_varian",negatif,negatif,tinggi,aspek,,,,
r004847_c2,ini mau untuk kado,(tidak ada),(tidak ada),negatif,netral,,sentimen,,,,
r028599_c3,nanti nunggu anaknya pulang hari sabtu,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r003561_c10,sejengkal,(tidak ada),ukuran_varian,negatif,netral,,aspek + sentimen,,,,
r003715_c5,kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain,"pengiriman, ukuran_varian","pelayanan_penjual, pengiriman",negatif,netral,,aspek + sentimen,,,,
r004816_c4,trus bahannya juga nerawang alias tipis dan pengait bagian perutnya juga gmpang lepas,(tidak ada),kualitas_produk,negatif,negatif,tinggi,aspek,,,,
r016902_c0,sesuai dengan gambar persis plus ini bagus banget sendalnya terlihat mahal,"harga_value, kesesuaian_deskripsi","kesesuaian_deskripsi, kualitas_produk",positif,positif,,aspek,,,,
r001413_c3,sebelumnya sudah chating katanya oke hufth,(tidak ada),pelayanan_penjual,positif,negatif,sedang,aspek + sentimen,,,,
r015348_c1,empuk semoga awet dan tahan lama,kualitas_produk,kualitas_produk,positif,positif,,-,,,,
r018394_c1,barang apalagi ada flash sale,kualitas_produk,harga_value,positif,positif,,aspek,,,,
r001639_c0,barang tidak bisa dipakai,kemudahan_penggunaan,kualitas_produk,negatif,negatif,tinggi,aspek,,,,
r017891_c3,saya yang tinggi 165 berat 60 saja kegedean banget untuk ukuran m nya,ukuran_varian,ukuran_varian,positif,negatif,sedang,sentimen,,,,
r003715_c10,pakai bubble wrap murah kok,"harga_value, kemasan",kemasan,positif,negatif,sedang,aspek + sentimen,,,,
r006957_c1,terima kasih,(tidak ada),(tidak ada),positif,positif,,-,,,,
r029929_c5,yang pasti prosedur penukaran hrs kita ikuti dong,(tidak ada),pelayanan_penjual,positif,netral,,aspek + sentimen,,,,
