clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,severity,catatan_pelabel
r006530_c2,barang lengkap 4,craft,,,,,,,,,,,,,,
r003941_c6,sy punya video unboxingnya,other,,,,,,,,,,,,,,
r022628_c2,4 (k-one) karena beda merek dengan yang diminta diawal overall produk oke,electronics,,,,,,,,,,,,,,
r037817_c1,uda direndam air panas pun tidak hilang baunya,other,,,,,,,,,,,,,,
r015563_c2,thanks,fashion,,,,,,,,,,,,,,
r004231_c1,ngasih gratisan harus sesuai ukuran juga,fashion,,,,,,,,,,,,,,
r030072_c1,rekomanded seller,electronics,,,,,,,,,,,,,,
r011418_c1,masih berasa suara bassnya walau sedikit,electronics,,,,,,,,,,,,,,
r000844_c4,respon buruk parah,other,,,,,,,,,,,,,,
r003752_c1,yang kecil warnanya kusem cenderung warna kuning kaya plastik murah,other,,,,,,,,,,,,,,
r033303_c1,size pas untuk ukuran lokal,fashion,,,,,,,,,,,,,,
r037850_c0,pengantaran bagus cuman bikin rubber bat tambah rusak kw,other,,,,,,,,,,,,,,
r036108_c1,kirimnya cepat responnya cepat puaslah sama pelayanannya,other,,,,,,,,,,,,,,
r011624_c0,kwalitas barang sesuai harga,electronics,,,,,,,,,,,,,,
r002748_c0,tidak sesuai gambar depan terlalu pendek,fashion,,,,,,,,,,,,,,
r038878_c0,barang sesuai pesanan,other,,,,,,,,,,,,,,
r004538_c1,bonus 2 pic,other,,,,,,,,,,,,,,
r001639_c0,barang tidak bisa dipakai,craft,,,,,,,,,,,,,,
r025442_c1,pengiriman cepat,electronics,,,,,,,,,,,,,,
r022558_c0,mantap,electronics,,,,,,,,,,,,,,
r004628_c0,kualitas bahan bagus,electronics,,,,,,,,,,,,,,
r035968_c0,sip,other,,,,,,,,,,,,,,
r037828_c1,sangat puas dengan produk dan pelayanannya yang sangat cepat,other,,,,,,,,,,,,,,
r026853_c0,lengkap sesuai pesanan,electronics,,,,,,,,,,,,,,
r018387_c1,ori,fashion,,,,,,,,,,,,,,
r028032_c0,oke packing cukup baik,electronics,,,,,,,,,,,,,,
r002511_c2,alarm clock agak mengarah keatas,electronics,,,,,,,,,,,,,,
r017970_c1,enak banget dipakai,fashion,,,,,,,,,,,,,,
r003561_c13,dengan harg lumayan mahal,other,,,,,,,,,,,,,,
r002507_c11,suaranya gurih,electronics,,,,,,,,,,,,,,
r000576_c6,manis buatan banget,food_beverage,,,,,,,,,,,,,,
r014870_c0,bagusbtas,fashion,,,,,,,,,,,,,,
r013413_c1,semua barang oke punya,electronics,,,,,,,,,,,,,,
r002243_c2,semoga tidak ada kendala saat pemakaian,other,,,,,,,,,,,,,,
r000793_c1,packing safety bingitz,other,,,,,,,,,,,,,,
r009152_c0,pengiriman cepat barang sesuai dengan harga,fashion,,,,,,,,,,,,,,
r038909_c2,produknya sejauh ini bisa dipakai,other,,,,,,,,,,,,,,
r004847_c1,alhasil dusnya babakbelur penyok & sobek sana sini,other,,,,,,,,,,,,,,
r014427_c0,produk oke packing rapih dan pengiriman cepat,electronics,,,,,,,,,,,,,,
r013720_c2,jangan asal kirim pesanan kl barang tidak ada atau tidak sesuai pesanan,electronics,,,,,,,,,,,,,,
r001413_c1,kalau ada mau pesen balo gold sama silvernya saja 10 pcs,craft,,,,,,,,,,,,,,
r004812_c3,chat tidak pernah di bls,other,,,,,,,,,,,,,,
r022582_c5,salam sukses *ralat : ternyata bisa,electronics,,,,,,,,,,,,,,
r011631_c0,tingkatkan trus pelayanannya,electronics,,,,,,,,,,,,,,
r002355_c0,mantap ori,other,,,,,,,,,,,,,,
r015510_c0,mantap,fashion,,,,,,,,,,,,,,
r023001_c4,bass nya mayan ada,electronics,,,,,,,,,,,,,,
r037153_c1,terimamakasih,other,,,,,,,,,,,,,,
r035945_c0,cepat respon barng bagus sesuai dengan foto yang ditampilkan,other,,,,,,,,,,,,,,
r022478_c0,terima kasih sudah kirim cepat gan,electronics,,,,,,,,,,,,,,
r004842_c7,penjual tidak meminta maaf atas kesalahan yang dilakukan,other,,,,,,,,,,,,,,
r018309_c0,barang ori 100%,fashion,,,,,,,,,,,,,,
r014723_c0,suka,fashion,,,,,,,,,,,,,,
r013731_c2,di box hitam isinya doreng,electronics,,,,,,,,,,,,,,
r003125_c0,barang cacad,electronics,,,,,,,,,,,,,,
r003881_c2,tetap saja dikirim,other,,,,,,,,,,,,,,
r027502_c1,kok tidak bisa digunakan yaa,electronics,,,,,,,,,,,,,,
r019958_c1,bahkan menurut gua lebih bagus aslinya di banding gambarnya,fashion,,,,,,,,,,,,,,
r000427_c0,di foto bonus foto besar,food_beverage,,,,,,,,,,,,,,
r025796_c1,pengiriman cepat,electronics,,,,,,,,,,,,,,
r003556_c1,packing tidak ada pengamanan,other,,,,,,,,,,,,,,
r028599_c1,barang sesuai pesanan,electronics,,,,,,,,,,,,,,
r014120_c0,responnya cepat banget pengiriman cepat banget barang oke bgt,electronics,,,,,,,,,,,,,,
r013134_c3,main jadi lebih asik,electronics,,,,,,,,,,,,,,
r020635_c0,respon cepat pengiriman juga cepat terima kasih gan,electronics,,,,,,,,,,,,,,
r002984_c1,nyaman dipakai,fashion,,,,,,,,,,,,,,
r005813_c0,barang dan isinya sesuai pesanan,craft,,,,,,,,,,,,,,
r038896_c0,mungkin lebih baik lagi kalau disediakan ukuran,other,,,,,,,,,,,,,,
r016902_c0,sesuai dengan gambar persis plus ini bagus banget sendalnya terlihat mahal,fashion,,,,,,,,,,,,,,
r037848_c2,terima kasih,other,,,,,,,,,,,,,,
r017833_c0,produk bagus,fashion,,,,,,,,,,,,,,
r020679_c2,sudah dicoba smua berfungsi baik,electronics,,,,,,,,,,,,,,
r034140_c0,barang sampai kurang dari 1 jam,other,,,,,,,,,,,,,,
r003227_c0,fitur kurang memuaskan hanya sedikit seperti band yang sebelumnya belum layar sentuh full tidak sesuai dengan harga,electronics,,,,,,,,,,,,,,
r022860_c0,oke gan manntap gan,electronics,,,,,,,,,,,,,,
r023001_c2,suara nya mayan bagus untuk harga 100rban,electronics,,,,,,,,,,,,,,
r036059_c1,pengiriman sangat cepat langsung dikirim pada hari pembayaran produk juga seperti di gambar bagus quality sya ksh 5 stars ^^,other,,,,,,,,,,,,,,
r006934_c0,barang bagus sesuai deskripsi terima kasih,craft,,,,,,,,,,,,,,
r000415_c1,isinya banyak,food_beverage,,,,,,,,,,,,,,
r015726_c1,kondisi perfect,fashion,,,,,,,,,,,,,,
r022682_c4,but oke lah,electronics,,,,,,,,,,,,,,
r001990_c2,dikirim warna biru),other,,,,,,,,,,,,,,
r015108_c1,ampe pegel ngetiknya,fashion,,,,,,,,,,,,,,
r038911_c0,barang sudah sampai,other,,,,,,,,,,,,,,
r036803_c0,tidak sesuai gambar,other,,,,,,,,,,,,,,
r003344_c1,ada hooknya yang bisa ditarik jadi kalau celana kegedean,other,,,,,,,,,,,,,,
r017397_c6,bahkan lebih banyak bonus nya dari pada apa yang saya beli,fashion,,,,,,,,,,,,,,
r014111_c3,bonus atau gimana ya sis,electronics,,,,,,,,,,,,,,
r022344_c0,barang sudah diterima,electronics,,,,,,,,,,,,,,
r014783_c2,bagus dan enak dipakai,fashion,,,,,,,,,,,,,,
r007070_c0,barang sesuai dengan harga mayan buat kerja,fashion,,,,,,,,,,,,,,
r022633_c0,baguus gan barangnyaa cumaan agak macet di l2nya ajaa sisanyaa joos,electronics,,,,,,,,,,,,,,
r005985_c1,barang asli,craft,,,,,,,,,,,,,,
r039241_c0,barang bagus dan packing rapi,other,,,,,,,,,,,,,,
r003345_c0,nyaman banget dipakai,other,,,,,,,,,,,,,,
r015342_c4,yang ini sempit,fashion,,,,,,,,,,,,,,
r025769_c1,responnya cepat tanpa banyak basa-basi langsung dikirim &amp,electronics,,,,,,,,,,,,,,
r028306_c0,sesuai dengan deskripsi dan bisa dipakai,electronics,,,,,,,,,,,,,,
r002010_c2,banyak kotoran ramatnya,other,,,,,,,,,,,,,,
r016012_c1,kualitas oke banget empuk nyaman dipakai,fashion,,,,,,,,,,,,,,
r038843_c2,apakah di deskripsi hilang atau tidak tercantum untuk warna yang di pilih,other,,,,,,,,,,,,,,
r039590_c1,barang sesuai dengan deskripsi,other,,,,,,,,,,,,,,
r002131_c1,aseli dan aman,other,,,,,,,,,,,,,,
r036006_c1,sesuai dengan harga,other,,,,,,,,,,,,,,
r014501_c0,mantap bro tidak salah dengan brodo selalu memuaskan,fashion,,,,,,,,,,,,,,
r003557_c1,kardus saja jadi ada bagian laci yang pecah,other,,,,,,,,,,,,,,
r034119_c0,sipp lahh,other,,,,,,,,,,,,,,
r032571_c0,pengiriman cepat,electronics,,,,,,,,,,,,,,
r006695_c0,mantap,craft,,,,,,,,,,,,,,
r016270_c0,yang saya pesan merah d kirim abu,fashion,,,,,,,,,,,,,,
r003561_c2,tidak ada bedanya dengan box,other,,,,,,,,,,,,,,
r013703_c0,mantap barang sesuai deskripsi terima kasih,electronics,,,,,,,,,,,,,,
r017171_c0,barang sesuai gambar,fashion,,,,,,,,,,,,,,
r013607_c1,terima kasih gan,electronics,,,,,,,,,,,,,,
r018078_c1,respon juga baik,fashion,,,,,,,,,,,,,,
r020418_c1,kirain kayak toko sebelah qoo10 beli barang 1 bulan barang g nyampai malang dbilang barang hilang,fashion,,,,,,,,,,,,,,
r013672_c0,barang bagus,electronics,,,,,,,,,,,,,,
r035443_c2,ini dipakai untuk anak saya yang masih umur 8tahun,other,,,,,,,,,,,,,,
r035458_c0,salah warna,other,,,,,,,,,,,,,,
r003683_c8,bungkus juga cm kardus saja tanpa dilapis apapun,other,,,,,,,,,,,,,,
r018376_c4,sejauh ini mesin tidak ada masalah cuman strap kulitnya keliatan kulit palsu,fashion,,,,,,,,,,,,,,
r000491_c0,lama banget sampenya,food_beverage,,,,,,,,,,,,,,
r035953_c1,pengiriman tepat waktu,other,,,,,,,,,,,,,,
r005225_c10,ini benar murni saya sebagai pembeli,other,,,,,,,,,,,,,,
r002357_c0,cepat response pengiriman cepat packing aman dan rapi buku ori harga bersaing,other,,,,,,,,,,,,,,
r022530_c1,cepat sampe juga,electronics,,,,,,,,,,,,,,
r021677_c2,tidak bisa di gunakan,electronics,,,,,,,,,,,,,,
r004747_c1,kelengkapan sesuai,electronics,,,,,,,,,,,,,,
r014890_c0,design nya lucu banget trus enak dipakai :),fashion,,,,,,,,,,,,,,
r000567_c0,kue nya pas dateng dicoba asem,food_beverage,,,,,,,,,,,,,,
r015192_c3,produk nya pokoknya enak dan nyaman serta berkualitas,fashion,,,,,,,,,,,,,,
r003385_c1,penjualnya ramah banget nyaman di punggung packaging aman,other,,,,,,,,,,,,,,
r028888_c2,kenapa ya,electronics,,,,,,,,,,,,,,
r002984_c3,warnanya cantik,fashion,,,,,,,,,,,,,,
r014769_c0,suka banget 😍 nyaman dipake,fashion,,,,,,,,,,,,,,
r000571_c0,tidak sesuai gambar disitu gulanya yang hijau kenapa dikirimnya yang kuning sih beda mereka harga rasanya juga beda lbh enak yang hijau kenapa begini tokped jadi pengguna baru malah nyesel,food_beverage,,,,,,,,,,,,,,
r039224_c0,barang sesuai diskripsi,other,,,,,,,,,,,,,,
r004226_c3,istri suka banget,fashion,,,,,,,,,,,,,,
r025791_c1,dan sesuai deskripsi seller cepat respon,electronics,,,,,,,,,,,,,,
r029079_c2,trims,electronics,,,,,,,,,,,,,,
r000524_c0,enak enak enak enak sekali,food_beverage,,,,,,,,,,,,,,
r018369_c3,mantap lah,fashion,,,,,,,,,,,,,,
r036107_c0,barang sudahsampai,other,,,,,,,,,,,,,,
r022869_c1,packing rapi dan cepat sampai,electronics,,,,,,,,,,,,,,
r022398_c0,mantap lah dengan harga segitu,electronics,,,,,,,,,,,,,,
r001413_c0,sudah tanya sebelumnya sama penjualnya ada tidak balon warna gold dama silver,craft,,,,,,,,,,,,,,
r006002_c1,barang asli krisbow,craft,,,,,,,,,,,,,,
r020013_c1,cepat,fashion,,,,,,,,,,,,,,
r017169_c1,siip,fashion,,,,,,,,,,,,,,
r039054_c0,tidak jelas apa ukuran nya,other,,,,,,,,,,,,,,
